article_url,title,publish_date,week_label,collect_date,corn_price,corn_price_unit,soymeal_price,soymeal_price_unit,raw_html_path,raw_text_path,parsing_method,validation_flag,validation_notes
https://scs.moa.gov.cn/jcyj/201904/t20190425_6410589.htm,4月份第3周畜产品和饲料集贸市场价格情况,2019-04-23,4月第3周,2019-04-17,2.0,元/公斤,3.04,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2019-04-23_001.html,data/raw/scs_feed_weekly_articles/article_text/2019-04-23_001.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/201912/t20191211_6410763.htm,12月份第1周畜产品和饲料集贸市场价格情况,2019-12-10,12月第1周,2019-12-04,2.1,元/公斤,3.33,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2019-12-10_002.html,data/raw/scs_feed_weekly_articles/article_text/2019-12-10_002.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202001/t20200109_6410779.htm,1月份第1周畜产品和饲料集贸市场价格情况,2020-01-07,1月第1周,2020-01-01,2.09,元/公斤,3.26,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-01-07_003.html,data/raw/scs_feed_weekly_articles/article_text/2020-01-07_003.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202001/t20200121_6410789.htm,1月份第3周畜产品和饲料集贸市场价格情况,2020-01-21,1月第3周,2020-01-15,2.09,元/公斤,3.23,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-01-21_004.html,data/raw/scs_feed_weekly_articles/article_text/2020-01-21_004.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202002/t20200211_6410791.htm,2月份第1周畜产品和饲料集贸市场价格情况,2020-02-11,2月第1周,2020-02-05,2.11,元/公斤,3.25,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-02-11_005.html,data/raw/scs_feed_weekly_articles/article_text/2020-02-11_005.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202006/t20200617_6410889.htm,6月份第2周畜产品和饲料集贸市场价格情况,2020-06-16,6月第2周,2020-06-10,2.23,元/公斤,3.23,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-06-16_006.html,data/raw/scs_feed_weekly_articles/article_text/2020-06-16_006.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202006/t20200624_6410894.htm,6月份第3周畜产品和饲料集贸市场价格情况,2020-06-23,6月第3周,2020-06-17,2.24,元/公斤,3.22,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-06-23_007.html,data/raw/scs_feed_weekly_articles/article_text/2020-06-23_007.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202007/t20200708_6410904.htm,7月份第1周畜产品和饲料集贸市场价格情况,2020-07-07,7月第1周,2020-07-01,2.28,元/公斤,3.2,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-07-07_008.html,data/raw/scs_feed_weekly_articles/article_text/2020-07-07_008.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202007/t20200715_6410909.htm,7月份第2周畜产品和饲料集贸市场价格情况,2020-07-14,7月第2周,2020-07-08,2.29,元/公斤,3.21,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-07-14_009.html,data/raw/scs_feed_weekly_articles/article_text/2020-07-14_009.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202007/t20200723_6410915.htm,7月份第3周畜产品和饲料集贸市场价格情况,2020-07-21,7月第3周,2020-07-15,2.3,元/公斤,3.23,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-07-21_010.html,data/raw/scs_feed_weekly_articles/article_text/2020-07-21_010.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202007/t20200729_6410919.htm,7月份第4周畜产品和饲料集贸市场价格情况,2020-07-28,7月第4周,2020-07-22,2.33,元/公斤,3.24,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-07-28_011.html,data/raw/scs_feed_weekly_articles/article_text/2020-07-28_011.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202008/t20200812_6410927.htm,8月份第1周畜产品和饲料集贸市场价格情况,2020-08-11,8月第1周,2020-08-05,2.41,元/公斤,3.29,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-08-11_012.html,data/raw/scs_feed_weekly_articles/article_text/2020-08-11_012.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202008/t20200819_6410932.htm,8月份第2周畜产品和饲料集贸市场价格情况,2020-08-18,8月第2周,2020-08-12,2.43,元/公斤,3.28,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-08-18_013.html,data/raw/scs_feed_weekly_articles/article_text/2020-08-18_013.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202008/t20200826_6410936.htm,8月份第3周畜产品和饲料集贸市场价格情况,2020-08-25,8月第3周,2020-08-19,2.44,元/公斤,3.27,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-08-25_014.html,data/raw/scs_feed_weekly_articles/article_text/2020-08-25_014.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202009/t20200916_6410942.htm,9月份第2周畜产品和饲料集贸市场价格情况,2020-09-15,9月第2周,2020-09-09,2.44,元/公斤,3.27,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-09-15_015.html,data/raw/scs_feed_weekly_articles/article_text/2020-09-15_015.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/202009/t20200930_6410948.htm,9月份第4周畜产品和饲料集贸市场价格情况,2020-09-29,9月第4周,2020-09-23,,,3.31,元/公斤,data/raw/scs_feed_weekly_articles/article_html/2020-09-29_016.html,data/raw/scs_feed_weekly_articles/article_text/2020-09-29_016.txt,regex_text,missing_core_fields,missing:corn_price
