article_url,title,publish_date,week_label,collect_date,corn_price,corn_price_unit,soymeal_price,soymeal_price_unit,source_segment,raw_html_path,raw_text_path,parsing_method,validation_flag,validation_notes
https://www.moa.gov.cn/gk/jcyj/201603/t20160309_5045861.htm,,2016-03-08,,2016-03-02,2.07,元/公斤,3.06,元/公斤,gk_jcyj,data/raw/moa_feed_weekly_legacy_supplement/article_html/2016-03-08_001.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2016-03-08_001.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201604/t20160427_5110252.htm,,2016-04-27,,2016-04-20,1.97,元/公斤,2.97,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2016-04-27_002.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2016-04-27_002.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201606/t20160623_5184952.htm,,2016-06-22,,2016-06-15,2.03,元/公斤,3.37,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2016-06-22_003.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2016-06-22_003.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201701/t20170112_5429594.htm,,2017-01-12,,2017-01-04,1.91,元/公斤,3.69,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2017-01-12_004.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2017-01-12_004.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201702/t20170209_5471799.htm,,2017-02-08,,2017-02-03,1.88,元/公斤,3.6,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2017-02-08_005.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2017-02-08_005.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201707/t20170703_5733564.htm,,2017-06-28,,2017-06-21,1.9,元/公斤,3.2,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2017-06-28_006.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2017-06-28_006.txt,regex_text,ok,
https://www.moa.gov.cn/ztzl/nybrl/rlxx/201708/t20170810_5780964.htm,,2017-08-08,,2017-08-02,1.96,元/公斤,3.23,元/公斤,nybrl_rlxx,data/raw/moa_feed_weekly_legacy_supplement/article_html/2017-08-08_007.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2017-08-08_007.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/201802/t20180207_6410340.htm,1月份最后一周畜产品和饲料集贸市场价格情况,2018-02-06,1月最后一周,2018-01-31,1.99,元/公斤,3.32,元/公斤,scs_jcyj,data/raw/moa_feed_weekly_legacy_supplement/article_html/2018-02-06_008.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2018-02-06_008.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/201807/t20180725_6410439.htm,7月份第3周畜产品和饲料集贸市场价格情况,2018-07-24,7月第3周,2018-07-18,2.03,元/公斤,3.33,元/公斤,scs_jcyj,data/raw/moa_feed_weekly_legacy_supplement/article_html/2018-07-24_009.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2018-07-24_009.txt,regex_text,ok,
https://scs.moa.gov.cn/jcyj/201812/t20181213_6410495.htm,12月份第1周畜产品和饲料集贸市场价格情况,2018-12-11,12月第1周,2018-12-05,2.07,元/公斤,3.53,元/公斤,scs_jcyj,data/raw/moa_feed_weekly_legacy_supplement/article_html/2018-12-11_010.html,data/raw/moa_feed_weekly_legacy_supplement/article_text/2018-12-11_010.txt,regex_text,ok,
