article_url,title,publish_date,validation_flag,validation_notes
https://www.agri.cn/sj/jcyj/202603/t20260311_8818065.htm,3月第1周畜产品和饲料集贸市场价格情况,2026-03-10,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202603/t20260304_8816352.htm,2月第4周畜产品和饲料集贸市场价格情况,2026-03-03,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202603/t20260304_8816351.htm,2月第3周畜产品和饲料集贸市场价格情况,2026-02-27,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202602/t20260227_8814889.htm,2月第2周畜产品和饲料集贸市场价格情况,2026-02-25,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202602/t20260211_8811925.htm,2月第1周畜产品和饲料集贸市场价格情况,2026-02-10,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202602/t20260204_8809558.htm,1月第5周畜产品和饲料集贸市场价格情况,2026-02-03,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202601/t20260127_8806877.htm,1月第4周畜产品和饲料集贸市场价格情况,2026-01-27,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202601/t20260116_8803356.htm,1月第2周畜产品和饲料集贸市场价格情况,2026-01-13,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202601/t20260108_8801340.htm,1月第1周畜产品和饲料集贸市场价格情况,2026-01-06,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251225_8797450.htm,12月第3周畜产品和饲料集贸市场价格情况,2025-12-23,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251217_8795355.htm,12月第2周畜产品和饲料集贸市场价格情况,2025-12-16,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251211_8793371.htm,12月第1周畜产品和饲料集贸市场价格情况,2025-12-09,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202512/t20251203_8791213.htm,11月第4周畜产品和饲料集贸市场价格情况,2025-12-02,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251126_8789245.htm,11月第3周畜产品和饲料集贸市场价格情况,2025-11-25,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251119_8787426.htm,11月第2周畜产品和饲料集贸市场价格情况,2025-11-18,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251111_8785034.htm,11月第1周畜产品和饲料集贸市场价格情况,2025-11-11,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202511/t20251106_8783689.htm,10月第4周畜产品和饲料集贸市场价格情况,2025-11-04,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251030_8781691.htm,10月第3周畜产品和饲料集贸市场价格情况,2025-10-28,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202510/t20251021_8778429.htm,10月第2周畜产品和饲料集贸市场价格情况,2025-10-21,ok,collect_date_missing
